Author,Title
"KRAR, STEVE F",TECHNOLOGY OF MACHINE TOOLS 
"SEN, G C",PRINCIPLES OF MACHINE TOOLS 
"YOU SSEF, HELMI A",MACHNING TECHNOLOGY MACHINE TOOLS AND OPERATIONS 
G.R. Nagpal,Machine Tool Engineering  A Textbook of Engineering  Student 
Olivo,Fundamentals of Machine Tool Technology and Manufacturing Process 
Richard R. Kibbe etc,Machine Tool Practices 
"GERLING, HEINRICH",ALL ABOUT MACHINE TOOLS 
Heinrich Gerling,All about Machine Tools  Revised to Indian Standards 
MATTSON MIKE,CNC PROGRAMMING 
Pabla,CNC Machines 
"ADITHAN, M",CNC MACHINES 
Binit Kumar Jha,CNC Programming Made Easy 
B.L. Juneja,Fundamentals of Metal Cutting and Machine Tools 
Elanchezhian,Design of Jigs Fixtures and Press Tools 
"Grant, Hiram E",Jigr and Fixtures 
Joshi,Jigs and Fixtures 
"GUPTA R ,POONAM, VARKEY GEORGE",PROCEEDINGS OF ANNUAL SEMINAR OF CDAC NOIDA TECHNOLOGIES 
GATE OFFICE,GATE OFFICE 
"JAIN, RK",MECHANICAL ENGINEERING FOR COMPETITIONS 
K.MAHADEVAN,DESIGN DATA HAND BOOK 
S.C.Arora,A Course in Heat And Mass Transfer 
SRINIVASAN D.,PRINCIPLES OF HEAT TRANSFER 
Clifford Michael,An introduction to mechanical engineering 
"HARTMAN, HOWARD L",INTRODUCTORY MINING ENGINEERING 
VENKATESH UDDAMERI,HYDRAULIC FRACTURING IMPACTS AND TECHNOLOGIES 
WADOO A SABIHA,AUTONOMOUS UNDERWATER VEHICLES MODELLING CONTROL DESIGN AND SIMULATION 
Igor A. Karnousky,Free Vibrations of Beams and Frances  Eigenvalues and Eigenfunctions 
SHARAT CHANDRA GUPTA,RAFT FOUNDATION
Kasturai &Sons,The Survey of the Invironment 2005 
SREENIVASAN ALAMPALLI,INSPECTION EVALUATION AND MAITANANCE OF SUSPENSION BRIDGES 
"Balagopal, T.S.Prabhu",Building Design and Civil Engineering Drawing 
"Bhavikatti, S.S.",Elements of Civil Engineering 
"KANDYA, ANURAG A",ELEMENTS OF CIVIL ENGINEERING 
"KHURMI, R S",CIVIL ENGINEERING  CONVENTIONAL And OBJECTIVE TYPE 
KhurmiR. S.,Civil engineering objective type 
"MARRIOTT, MARTIN",NALLURI AND FEATHERSTONES CIVIL ENGINEERING HYDRAULICS 
"MC CUEN, RICHARD H",FUNDAMENTALS OF CIVIL ENGINEERING 
"MINU, SANTHA",TEXT BOOK OF BASIC CIVIL ENGINEERING 
"Palanichamy, M.S.",Basic Civil Engineering 
"PAZ, MARIO",STRUCTURAL DYNAMICS  THEORY AND COMPUTATION 
PRABHU BALAGOPAL,BUILDING DESIGN And CIVIL ENGINEERING DRAWING 
Rangwala,ESSENTIALS OF CIVIL ENGINEERING 
"Rao, M.S.",Basics of Civil Engineering A Comprehensive Textbook for all branches of Engineering Introducing Surveying Building Materials and construction and Drawing 
"SANTHA, MINU",BASIC CIVIL ENGINEERING 
"Sharma, J L",A Textbook for Construction Management And Accounts 
"SWARNALATHA, K",BASICS OF CIVIL ENGINEERING 
"Vazirani, V.N.",Concise Hand Book of Civil Engineering 
"WHITE, KENNETH R",BRIDGE MAINTENANCE INSPECTION AND EVALUATION 
Alfredo HS Ang ,probability concepts in engineering emphasis on applications to civil and environmental engineering 
BUREAU OF INDIAN STANDARDS,BUREAU OF INDIAN STANDARDS
K S JAGADISH,Building with Stabilized Mud
"MANICKA SELVAM, V.K.",ELEMENTS OF MATRIX AND STABILITY ANALYSIS OF STRUCTURES 
BC PUNMIA,BASIC CIVIL ENGINEERING
Rangwala,TOWN PLANNING 
RYALL J MICHAEL,BRIDGE MANAGEMENT 
BRYAN STAFFORD SMITH,TALL BUIKDING STRUCTURES ANALYSIS AND DESIGN
J Yates ,Sustainability in engineering design and construction 
DR S RAJENDRAPRASAD,COMPUTATIONAL MECHANICS
DUTTA.B.N,ESTIMATING AND COSTING IN CIVIL ENGINEERING 
"PEURIFOY, ROBERT L",ESTIMATING CONSTRUCTION COSTS 
"PRATT, DAVID",FUNDAMENTALS OF CONSTRUCTION ESTIMATING 
"Rangawala, S.C.",Elements of Estimating And Costing 
"Mahajan, S.P",Civil Estimating And Costing 
"BARRIE, DONALD S",PROFESSIONAL CONSTRUCTION MANAGEMENT  INCLUDING CM DESIGN CONSTRUCT AND GENERAL CONTRACTING 
"WALKER, ANTHONY",PROJECT MANAGEMENT IN CONSTRUCTION 
"BERNOLD, LEONHARD E",CONSTRUCTION EQUIPMENT AND METHODS  PLANNING INNOVATION SAFETY 
S.B. junnarkar,Mechanics of Structures Vol2   
"DOYLE, JAMES F",GUIDED EXPLORATIONS OF THE MECHANICS OF SOLIDS AND STRUCTURES 
JUNNARKAR,MECHANICS OF STRUCTURES 
"JUNNARKKAR, S B",MECHANICS OF STRUCTURES VOL II Theory and analysis of structures VOLII 
"Khurmi, R S",Theory of Structures 
"MACLAUGHLIN, DAVID C",STRUCTURAL STEEL DRAFTING AND DESIGN 
"SHAH, H J JUNNARKKAR",MECHANICS OF STRUCTURES Theory and analysis of structures VOLII 
"SLIVKER, V",MECHANICS OF STRUCTURAL ELEMENTS THEORY AND APPLICATIONS 
"SMITH, BRYAN STAFFORD",TALL BUILDING STRUCTURES ANALYSIS AND DESIGN 
S P GUPTA,THEORY OF STRUCTURES
SB JUNNARKAR,MECHANICS OF STRUCTURES VOL 2
D KRISHNAMURTHY ,STRUCTURAL DESIGN AND DRAWING
MADHUJIT MUKHOPADHYAY,MECHANICS OF COMPOSITE MATERIALS AND STRUCTURES
VL SHAH,LIMIT STATE DESIGN OF STEEL STRUCTURES IS 800 2007
SINHA N C ,ADVANCED THEORY OF STRUCTURES
M K PANT,ELEMENTS OF BRIDGE ENGINEERING
BUJANG B. K.HUAT,GROUND IMPROVEMENT TECHNIQUES
Braja M. Das,Principles of foundation Engineering 
"Kurian, NINAN. P",Design of Foundations systems 
"MURTHY, VNS",ADVANCED FOUNDATION ENGINEERING 
"VARGHESE, P C",FOUNDATION ENGINEERING 
BRAHMA S P,FOUNDATION ENGINEERING
N NSOM,THEORY AND PRACTICE OF FOUNDATION DESIGN
P PURUSHOTHAMA RAJ,GEOTECHNICAL ENGINEERING
BHATTACHARYA,GEOELECTRIC METHODS  THEORY AND APPLICATIONS 
"BLYTH, FGH",GEOLOGY FOR ENGINEERS 
BRAJA M DAS,PRINCIPLES OF GEOTECHNICAL ENGINEERING 
CHATTOPADHYAY B,INTRODUCTORY GEOTECHNICAL ENGINEERING 
"DAS, BRAJA M",FUNDAMENTALS OF GEOTECHNICAL ENGINEERING 
"JOHNSON, ROBERT B",PRINCIPLES OF ENGINEERING 
"Khan, Iqbal H",Textbook of Geotechnical Engineering 
Manuel Pastor,Numerical Modelling in Geomechanics
"NAINAN, KURIAN P",AN INTRODUCTION TO MODERN TECHNIQUES IN GEOTECHNICAL AND FOUNDATION ENGINEERING 
Parbin Singh,Textbook of Engineering and General Geology 
"Venkatramaiah, C",GEO TECHNICAL ENGINEERING 
RICHARD L HANDY,GEOTECHNICAL ENGINEERING SOIL AND FOUNDATIONS PRINCIPLE AND PRACITCE
PARBIN SINGH,TEXTBOOK OF ENGINEERING GEOLOGY
MUNI BUDHU,SOIL MECHANICS AND FOUNDATIONS 
GOPAL RANJAN,BASIC AND APPLIED SOILMECHANICS 
"MURTHY, VNS",TEXT BOOK OF SOIL MECHANICS AND FOUNDATION ENGINEERING 
"PURUSHOTHAMA RAJ, P",SOIL MECHANICS AND FOUNDATION ENGINEERING 
PUNMIA B C,SOIL MECHANICS AND FOUNDATIONS
"SCOTT, C R",AN INTRODUCTION TO SOIL MECHANICS AND FOUNDATIONS
SWAMI SARAN ,SOILDYNAMICS AND NACHINE FOUNDATIONS
S B SEHGAL,A TEXT BOOK OF SOIL MECHANICS 
"Bari, S.A.",Elements of Structural Analysis 
"BAUCHAU, O A",STRUCTURAL ANALYSIS  WITH APPLICATION TO AEROSPACE STRUCTURES 
Bhavikatti,Structural Analysis Volume II 
DEVDAS MENON,ADVANCED STRUCTURAL ANALYSIS 
"PANDIT, G S",STRUCTURAL ANALYSIS 
"SENTHIL, KUMAR S",WAREHOUSE  LAYOUT PLANNING AND PART FEEDING METHODS 
"SHAH, H J",MECHANICS OF STRUCTURES VOL1 STRENGTH OF MATERIALS 
SOUDER,TEMPORARY STRUCTURE DESIGN 
FELTON LEWIS,MATRIX STRUCTURAL ANALYSIS 
MADHUJIT MUKHOPADHYAY,STRUCTURAL DYNAMICS Vibrations  Systems
Prakash Rao D S,Graphical Methods in Structural Analysis
"SLIVKER, V",FOUNDATIONS OF ENGINEERING MECHANICS  THEIRY AND APPLICATIONS 
Mete A Sozen,Understanding Structures
A. Ghali,Structural Analysis  A Unified Classical and Matrix Approach 
S.B.JUNNARKAR,MECHANICS OF STRUCTURES VOLII 
Dr.H.J.SHAH,MECHANICS OF STRUCTURES VOLI 
AGOR R,Structural Analysis
"CHANDRAMOULI, P.N",STRUCTURAL ANALYSIS I  ANALYSIS OF STATICALLY DETERMINATE STRUCTURES 
"LEE, USIK",SPECTRAL ELEMENT METHOD IN STRUCTURAL DYNAMICS 
"MCCORMAC, JACK C",STRUCTURAL ANALYSIS USING CLASSICAL AND MATRIX METHODS 
Vaidyanathan R,500 Short QA in Structural Analysis
"WANG, K C",INTERMEDIATE STRUCTURAL ANALYSIS 
ARUN SHYAM,STRUCTURAL ANALYSIS
ASHOK K JAIN ,ADVANCED STRUCTURAL ANALYSIS WITH FINITE ELEMENT AND COMPUTER APPLICATIONS
M LGAMBHIR,FUNDAMENTALS OF STRUCTURAL MECHANICS AND ANALYSIS
A GHALI,STRUCTURAL ANALYSIS  ANUFIED CLASSICAL AND MATRIX APPROACH
"HARTMANN, F",STRUCTURAL ANALYSIS WITH FINITE ELEMENTS 
Madhu B Kachi,Matrix Methods of Structural Analysis
William McGuire,Matrix Structural Analysis
AS MEHGRE,FINITE ELEMENT METHOD IN STRUCTURAL ANALYSIS
MEGSON THG,STRUCTURAL AND STRESS ANALYSIS
Meghre A S,Matrix Methods of Structural Analaysis
R VAIDYANATHAN,STRUCTURAL ANALYSIS 1
"REDDY, C S",BASIC STRUCTURAL ANALYSIS 
THANDAVA MOORTHY,ANALYSIS OF STRUCTURES
"Sinha, N C",ELEMENTS OF STRUCTURAL ANALYSIS 
"HOLMES, JOHN D",WIND LOADING OF STRUCTURES 
SINGH R V ,EARTHQUAKE RESISTANT DESIGN OF STRUCTURES
"AGARWAL, PANKAJ",EARTH QUAKE RESISTANT DESIGN OF STRUCTURES 
"Chopra, Anil K",Dynamics of structures  Theory and Applications to Earthquake Engineering 
BIS,EXPLANATORY HANDBOOK ON CODES FOR EARTHQUAKE ENGINEERING
"VINOD, HOSUR",EARTHQUAKE RESISTANT DESIGN OF BUILDING STRUCTURES 
"GIONCU, VICTOR",SEISMIC DESIGN OF STEEL STRUCTURES 
"KRAMER, STEVEN L",GEOTECHNICAL EARTH QUAKE ENGINEERING 
"LI, GANG",THEORY OF NONLINEAR STRUCTURAL ANALYSIS  THE FORCE ANALOGY METHOD FOR EARTHQUAKE ENGNEERING 
JAI KRISHNA,ELEMENTS OF EARTHQUAKE ENGINEERING 
DAVID DOWRICK,EARTHQUAKE TESISTANT DESIGN AND RISK REDUCTION
NEELAM SHARMA,EARTHQUAKE RESISTANT BUILDING CONSTRUCTION
"UGURAL, ANSEL C",STRESSES IN BEAMS PLATES AND SHELLS 
Varadan T K,Analaysis of Plates
"Technical Teachers' Training Institute, Chandigarh",Civil Engineering Materials 
"Ghosh, DN",Materials of Construction 
"MAMLOUK, MICHAEL S",MATERIALS FOR CIVIL CONSTRUCTION ENGINEERS 
"LIN, T Y",DESIGN OF PRESTRESSED CONCRETE STRUCTURES 
"DUGGAL, S K",LIMIT STATE DESIGN OF STEEL STRUCTURES 
"GAMBHIR, M.L",FUNDAMENTALS OF STRUCTURAL STEEL DESIGN 
Ram Chandra,Design of Steel Structures Vol 1 
SAIRAM K S,DESIGN OF STEEL STRUCTURES 
"SUBRAHMANIAN, N",DESIGN OF STEEL STRUCTURES  LIMIT STATES METHOD 
ss bhavikatti,design of steel structures
P DAYARATNAM,DESIGN OF STEEL STRUCTURES
"DUGGAL, S.K",Design of Steel Structures 
Kanthimathinathan S,Design of Connections for Steel StructuresWorking Stress Method
KANTHIMATHINATHAN,LIMIT STATE DESIGN OF STEEL STRUCTURES
Pasala Dayaratnam,Prestressed Concrete Structures
Ramchandra,Design of Steel Structures
TANGRI B B,Steel structures Design
Victor Gioncu,Ductility of Seismic Resistant Steet Structures 
ASHEESH KUMAR,PRESTRESSED CONCRETE AND ADVANCE DESIGN OF STRUCTURES
"GAMBHIR, M L",CONCRETE TECHNOLOGY  THEORY AND PRACTICE 
"KRISHNA, RAJU N",DESIGN OF CONCRETE MIXES 
"PRAVEEN, NAGARAJAN",PRESTRESSED CONCRETE DESIGN 
"KUMAR MEHTA, P",CONCRETE TECHNOLOGY 
"NILSON, ARTHUR H",DESIGN OF PRESTRESSED CONCRETE 
"Raina, V.K",Concrete for Construction  Facts and Practice 
"SCHUTTER, GEERT DE",DAMAGE TO CONCRETE STRUCTURES 
"Neville ,A M",Properties of Concrete 
S RAMAMRUTHAM,Prestressed Concrete
SS BHAVIKKATTI,DESIGN OF RCC STRUCTURAL ELEMENTS
"MEHRA, H",LIMIT STATE DESIGN OF REINFORCED CONCRETE STRUCTURES 
Punmia B C,Reinforced Concrete Structures
"Vazirani,V.N.",Concrete Structures  Analysis Design and Details of Structures 
ASHOK K JAIN,ReinforcedConcrete
Bungale S Taranath,Reinforced Concrete design of tall building
BUREAU OF INDIAN STANDARDS,DESIGN AIDS FOR REINFORCED CONCRETE TO IS 4561978
NEELAM SHARMA,RCC DESIGN DRAWING
G S PANDIT,PRE STRESSED CONCRETE
S UNNIKRISHNA PILLAI,REINFORCED CONCRETE DESIGN 
CHARLES E REYNOLDS,REYNOLDSS REINFORCED CONCRETE DESIGNERS HANDBOOK
VL SHAH,COMPUTER AIDED DESIGN IN REINFORCED CONCRETE
SINHA N C,FUNDAMENTALS OF PRESTRESSED CONCRETE
"Jagadeesh, T.R.",Design of Bridge Structures 
"JOHNSON, VICTOR D",ESSENTIALS OF BRIDGE ENGINEERING 
Ponnuswamy S,Bridge Engineering 
"Raina, V.K.",Concrete Bridge Practice  Construction Maintenance and Rehabilitation 
"XU, YOU LIN",WIND EFFECTS ON CABLE SUPPORTED BRIDGES 
ASVANI M G,DESIGN OF CONCRETE BRIDGE
RAKSHIT K S,DESIGN AND CONSTRUCTION OF HIGHWAY BRIDGES
RAMESH SHA,BRIDGE ENGINEERING
Kalia,Beginners Civil Engineering 
P.N.Ramachandra,Vaastu Shastra 
Pandit Alahar Vijay,Vaasthu Shastra Indian Traditional Building Science 
ANIMESH DAS,ANALYSIS OF PAVEMENT STRUCTURES 
"MUNDREY, J S",RAILWAY TRACK ENGINEERING 
"RANGWALA, SC",RAILWAY ENGINEERING 
L.R. Kadyalli,Principles And Practices of Highway Engineery Uncluding Expressway and Airport engineering 
"DUGGAL,AJAY",Laboratory Manual in Highway Engineering 
"Chandola, S.P",Textbook of Transportation Engineering 
"KADIYALI, L R",TRAFFIC ENGINEERING AND TRANSPORT PLANNING 
"RANGWALA, S C",HIGHWAY ENGINEERING 
"KADIYALI, L R",PRINCIPLES AND PRACTICES OF HIGHWAY ENGINEERING 
"KHANN S K, JUSTO, VEERARAGHAVAN",HIGHWAY ENGINEEERING 
"KHISTY, JOTIN C",TRANSPORTATION ENGINEERING 
PAPACOSTAS,TRANSPORTATION ENGINEERING AND PLANNING 
Partha Chak Roborty,Principles of Transporation Engineering 
"ROESS, ROGER P",TRAFFIC ENGINEERING 
T.P. Kanetkar,Surveying and Levelling Part I 
"PUNMIA, ASHOK K JAIN",SURVEYING VOL1 
"Agor, R.",Textbook for Surveying and Levelling 
"Kanetkar, T.P.",Surveying And Leveling Part II 
"SUBRAMANIAN, R",SURVEYING AND LEVELLING 
"Wirshing, James R.",Introductory Surveying 
"Agor, R",TEXTBOOK OF SURVEYING AND LEVELLING 
Alak De,Plane Surveying 
"ANDERSON, JAMES M",SURVEYING THEORY AND PRACTICE 
Basak N N,Surveying And Levelling 
"Basak, N.N.",Surveying and Levelling 
SS BHAVIKKATTI,SURVEYING AND LEVELLING VOL 1
"DUGGAL, S K",SURVEYING  V1 
PUNMIA B C ASHOK K JAIN,HIGHER SURVEYING SURVEYING III
"Punmia, B.C",Surveying 
"ROY, S K",FUNDAMENTALS OF SURVEYING 
RAMAMURTHY T,ENGINEERING ROCKS
Kadiyali,Traffic Engineering and transport Planning 
"HAAS, RALPH",PAVEMENT ASSET MANAGEMENT 
"ASHFORD, NORMAN, MUMAYIZ SALEH, A",AIRPORT ENGINEERING 
"KHANNA, S.K, ARORA, MG",AIRPORT PLANNING AND DESIGN 
"PARR, ANDREW",HYDRAULICS And PNEUMATICS  A TECHNICIANS ENGINEERS GUIDE 
"CHANDRAMOULI, P N",APPLIED HYDRAULIC ENGINEERING 
"ERBISTI, PAULO C F",DESIGN OF HYDRAULIC GATES 
K. Subramanya,ENGINEERING HYDROLOGY 
LIKHIS S K,Hydraulies Laboratory Manual 
Manjumdar S R,Oil Hydraulic Systems  Principles and Maintenence 
"Patra, K.C",Hydrology and Water Resources Engineeering 
REGHUNATH,Hydrology  Principles Analysis and Design 
Robertzon,Hydraulic Engineering 
SHESHAPRAKASH M N,EXPERIMENTS IN HYDRAULICS AND HYDRAULIC MACHINES 
ASHEESH KUMAR,ENGINEERING HYDROLOGY
KESHRI DINA NATH,ANALYSIS AND DESIGN OF HYDRAULIC STRUCTURES
NOVAK PAVEL,HYDARULIC MODELLING AND INTRODUCTION PRINCIPLES METHODS AND APPLICATIONS 
K SUBRAMANYA,HYDRAULIC MACHINES
Srinivasan,HARBOUR DOCK AND TUNNELL ENGINEERING 
"Basak, N N",Irrigation Engineering 
SHARMA R K .,Irrigation Engineering  Including Hychology 
KHOSH  KANUA MOY,ANALYSIS AND DESIGN PRACTICE OF HYDRAULIC CONCRETE STRUCTURES
BCPUNMIA,IRRIGATION AND WATER POWER ENGINEERING
SAHASRABUDHE,IRRIGATION ENGINEERING AND HYDRAULIC STRUCTURES
"R K SHARMA , TK SHARMA",DAM ENGINEERING
"Basak, N N",ENVIRONMENTAL ENGINEERING 
"DAVIS, MACKENZIE, L",INTRODUCTION TO ENVIRONMENTAL ENGINEERING 
"Duggal, K.N.",Elements of Environmental Engineering 
Gilbert M.Masters,Introduction to Environmental Engineering and Science 
Henry,Environmental Science And Engineering 
Kurian Joseph,Essentials of Environmental Studies 
Y ANJANEYLU,C FOR ENVIRONMENTAL SCIENTISTS AND ENGINEERS
Dr.Bhavna Garg,hand book of Environmental science 
SURESH K DHAMEJA,ENVIRONMENTAL STUDIES
BHAVE P R,OPTIMAL DESIGN OF WATER DISTRIBUTION NETWORKS
SATYA NARAYANA MURTY CHALLA,WATER RESOURCES ENGINEERING PRINCIPLES 
PUNMIA BC,WATERSUPPLY ENGINEERING 
"WURBS, RALPH A",WATER RESOURCES ENGINEERING 
P R BHAVE,Analysis of Water Distribution Network
DUGGAL,Elements of Water Resources Engineering 
MODI P N,WATER SUPPLY ENGINEERRING
Rangwala,WATER SUPPLY AND SANITARY ENGINEERING 
SANTHOSH KUMAR GARG,WATER SUPPLY ENGINEERING 
Subhash Verma ,Water Supply Engineering
"BOUWER, HERMAN",GROUNDWATER HYDROLOGY 
"PINDER, GEORGE F",GROUNDWATER MODELING  USING GEOGRAPHICAL INFORMATION SYSTEMS 
"RUSHTON, K R",GROUND WATER HYDROLOGY  CONCEPTUAL AND COMPUTATIONALMODELS 
Debashis chakrobarty,Fundamentals of Geographic information system 
"VIESSMAN, WAREEN",WATER SUPPLY AND POLLUTION CONTROL 
GS BIRDIE,WATER SUPPLY AND SNITARY ENGINEERING
METCALF,WASTEWATER ENGINEERING TREATMENT AND REUSE 
Karia G L,Wastewater Treatment
PITCHEL JOHN ,WASTE MANAGEMENT PRACTICES MUNCIPAL HAZARDOUS AND INDUSTRIAL
"MANSER, AGR",PRACTICAL HANDBOOK OF PROCESSING AND RECYCLING OF MUNICIPAL WASTE 
"Doble, Mukesh",Biotreatment of Industrial Effluents 
"GHOSH, D N",AIR AND WATER POLLUTION  CONTROL ENGINEERING 
Rao C S,Environmental pollution contract Engineering 
PALANI S,CONTROL SYSTEMS ENGINEERING
"Gupta, R.S.",Handbook of Fire Technology 
Narang,Automobile Engineering 
"SARKAR, PRADIP KUMAR",TRANSPORTATION PLANNING PRACTICES AND POLICIES 
"WRIGHT, PAUL H",TRANSPORTATION ENGINEERING  PLANNING AND ENGINEERING 
A. Kamala,Transportation Engineering 
"NAGARAJA ,N S",Elements of Electronic Navigation 
VSSC,NATIONAL SEMINAR ON AEROSPACE OPPORTUNITIES AND CHALLENGES
Lloyd Dingle,Air Craft Engineering Principles 
"Anderson, John D",INTRODUCTION TO FLIGHT 
"BARNARD, RH",AIRCRAFT FLIGHT 
KERMODE A C,MECHANICS OF FLIGHT 
Thomson N W,Thrust for Flight without Formula Book 
"TORENBEEK, E",FLIGHT PHYSICS  ESSENTIALS OF AERONAUTICAL DISCIPLINES AND TECHNOLOGY WITH HISTORICAL NOTES 
HERMAN SCHLICHING,BOUNDARY LAYER THEORY
"ANDERSON JR, JOHN D",FUNDAMENTALS OF AERODYNAMICS  IN SI UNITS 
BERTIN JOHN J,AERODYNAICS FOR ENGINEERS 
Bertin,Aerodynamics for Engineers 
"DOLE, CHARLES E",FLIGHT THEORY AND AERODYNAMICS  A PRACTICAL GUIDE FOR OPERATIONAL SAFETY 
"DRAGOS, LAZAR",MATHEMATICAL METHODS IN AERODYNAMICS 
Rao,Turbomachine unsteady Aerodynamics 
Arnold M Kuethe,fundamentals of aerodynamics basesof aerodynamics design 
John D. Anderson,Fundamentals of Aerodynamics 
Barnes W.Me Cormick,Aerodynamics Aeonautics and Flight Mechanics 
PANTON .RANALD .L,INCOMPRESSIBLE FLOW 
YAHYA,Fundamentals of Compressible Flow  with Aircraft and Rocket Propulsion 
"KUNDU, AJOY KUMAR",AIRCRAFT DESIGN 
RAPTIS .A. LOANNIS,LINEAR AND NON LINEAR CONTROL OF SMALL SCALE UN MANNED HELICOPTERS 
"DINGLE, LOYD",AIRCRAFT ENGINEERING PRINCIPLES 
"Anderson, John D",AIRCRAFT PERFORMANCE AND DESIGN 
"JAGANATHAN, C",AIRCRAFT ACCIDENT INVESTIGATION 
"MAYUR, ANVEKAR R",AIRCRAFT PROPULSION 
BABU V,FUNDAMEATALS OF PROPULSION 
John D. Anderson,Aircraft Performance and Design 
Francir. J. Hale,Introduction to Aircraft Performance selection and design 
"FLACH, RONALD D",FUNDAMENTALS OF JET PROPULSION WITH APPLICATION 
"JAGANATHAN, C",JET ENGINES  DESIGN DEVELOPMENT AND OPERATION 
C jaganathan,Jet Engines design development and operationr 
"CUNDY, DALE R",INTRODUCTION TO AVIONICS 
"MCSHEA, ROBERT E",TEST AND EVALUATION OF AIRCRAFT AVIONICS AND WEAPON SYSTEMS 
MEGSON,INTRODUCTION TO AIRCRAFT STRUCTURAL ANALYSIS 
"NAGABHUSHANA, S",AIRCRAFT INSTRUMENTATION AND SYSTEMS 
"NAUMES, WILLIAM",THE ART AND CRAFT OF CASE WRITING 
"TOOLEY, MIKE",AIRCRAFT ELECTRICAL AND ELECTRONIC SYSTEMS  PRINCIPLES MAINTENENCE AND OPERATION 
"Treager,Irwim E.",Air craft  Gas Turbine Engine Technology Glencoe Aviation Technology Series 
SREENIVASAN. G,POWER THEFT 
"HARBANS, SINGH REYAT",THE AUTOMOBILE 
KRUPAL SINGH,AUTOMOBILE ENGINEERING VOL2 
"GIRI, N K",AUTOMOBILE TECHNOLOGY 
Anil Chikara,Automobile Engineering Vol III 
"PETERS, GEORGE A",AUTOMOTIVE VEHICLE SAFETY 
Giri.N.K.`,Automobile Mechanisms 
"GUPTA, S K",A TEXTBOOK OF AUTOMOBILE ENGINEERING 
"HAPPIANSMITH, JULIAN",INTRODUCTION TO MODERN VEHICLE DESIGN 
Kirpal Singh,Automobile Engineer Volume 1 
Kirpal Singh,Automobile Engineering  Volume2 
Ramalingam,Automobile Engineering  Theory and Practice 
Jack Erjavec,Automotive technology suspension and Steering 
Anil Chikara,Automobile Engineering Vol I 
Anil Chikara,Automobile Engineering VolII 
Prof. C.P. Narka,Basic Automobile Engineering 
South,Delmars Automotive Dictionary 
"LIU, WEI",INTRODUCTION TO HYBRID VEHICLE SYSTEM MODELING AND CONTROL 
"HEITNER, JOSEPH",AUTOMATIVE MECHANICS 
"CHRIS, MI, ABDUL MASRUR",HYBRID ELECTRIC VEHICLES PRINCIPLES AND APPLICATIONS WITH PRACTICAL PERSPECTIVES 
"CHRIS, MI",HYBRID ELECTRICAL VEHICLES PRINCIALS WITH APPLICATION WITH PRACTICAL PERSPECTIVES 
"EHSANI, MEHRDAD, GAO, YMIN",MODERN ELECTRIC HYBRID ELECTRIC AND FUEL VEHICLES 
"LARMINIE, JAMES",ELECTRICAL VEHICLE TECHNOLOGY  EXPLAINED 
Dukkipati,Vehicle Dynamics 
Aggarwal K M,Automobile Design Problems 
"CROUSE, WILLIAM H",AUTOMOTIVE MACHANICS 
"ERJAVEC, JACK",AUTOMOTIVE TECHNOLOGY  MANUAL TRANSMISSIONS 
GILLES TIM,MAINTENANCE OF AUTOMOTIVE ENGINES 
"GKIKAS, NIKOLAOS",AUTOMOTIVE ERGONOMICS 
"MORELLO, LORENZO",AUTOMOTIVE BODY 
"Nakra,C P",Automotive Mechanics 
"REIMPELL, JORNSEN",AUTOMOTIVE CHASSIS 
SCHNUBEL MARK,Automotive Engineering Heating and air conditioning 
HALDERMAN JAMES D,AUTOMOTIVE ENGINES  THEORY And SERVICING 
NUNNEY MJ,LIGHT AND HEAVY VEHICLE TECHNOLOGY 
"REIF, KONARD",AUTOMOTIVE MECHATRONICS  AUTOMOTIVE NETWORKING DRIVING STABILITY SYSTEMS  ELECTRONICS 
"Sethi, H M",Automotive Technology 
"STOTSKY, ALEXANDER A",AUTOMOTIVE ENGINES  CONGTROL ESTIMATION STATISTICAL DETECTION 
William H.Crouse,Automotive Engines 
"GENTA, GIANCARLO",THE AUTOMOTIVE CHASSIS 
Thomas W.Birch,Automotive Chassis Systems 
Don Knowles,Classroom Manual for Automotive Suspension and Steering Systems 
Don Knowles,Shop Manual for Automotive Suspension and Steering Systems 
Jack Erjavec,Class room Manual for Automatic Transmissions and Transaxles 
Jack Erjavec,Shop Manual for Automatic Transmissions and Transaxles 
Thomas W.Birch,Automotive Braking Systems 
Ian Andrew Norman,HeavyDuty Truck Systems 
Harbans Singh Reyat,Automobile 
"Ramalingam, K K",FUNDAMENTALS OF AUTOMOBILE ENGINEERING 
Barry Hollembeak,Shop Manual for Automotive Electricity and Electronics 
"ARIAS, ERJAVEC",ALTERNATIVE FUEL TECHNOLOGY 
Norm Chapman,Principles of Electricity and Electronics for the Automotive Technician 
Barry Hollembeak,Classroom Manual for Automotive Electricity and Electronics 
"Kohli,P.L",Automotive Electrical Equipment 
"DALY, STEVEN",AUTOMOTIVE AIR CONDITION AND CLIMATE CONTROL SYSTEM 
"LIVESEY, ANDREW",REPAIR OF VEHICLE BODIES 
"MORELLO, LORENZO",AUTOMOTIVE CHASIS  VOL 1 COMPONENTS AND DESIGN 
Robert Scharff,Motor Auto Body Repair 
Jack Erjavec,Automotive Technology  A Systems Approach 
Mathias F.Brejcha,Automatic Transmissions and Transaxles 
BIRKHAUSER,ATMOSPHERIC AND SPACE FLIGHT DYNAMICS  MODELLING AND SIMULATION WITH MATLAB AND SIMULINK 
